,구분,기업명,대표자,설립년도,업종,업태,시설원예,한우,낙농,육우,양돈,양계,오리,사슴,양봉,곤충,말,제조(도매),제조(소매),"수입(제조, 도매)",수입(소매),국내(도매),국내(소매),정보통신공사 전문,우편번호,도로명 주소,지번주소,상세 주소,대표번호,FAX번호,E-MAIL,홈페이지,ICT 제품,일번 제품,총 원,관리직,연구기술직,영업직,AS가능인원
0,"시설원예, 축산",(주)소프트윙스,구자전,20200818,"정보통신공사, 영상감시장치",제조업,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,52828,경상남도 진주시 진주대로 501,경상남도 진주시 가좌동 900 경상국립대학교 가좌캠퍼스,A동 111호(경상국립대학교 창업보육센터),0557590590,0557638503,sincerejh@bizmeka.com,,"지능형 CCTV, 방역출입관리제품",,7,3,3,1,2
1,"시설원예, 축산",주식회사대아글로벌,고장명,20200617,소독기 및 수처리장치,제조업,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,62213,광주광역시 광산구 하남산단8번로 127-24,광주광역시 광산구 안청동 739-19,,0625715707,0629452569,dh2546@hanmail.net,,0,수처리장치,4,2,1,1,2
2,"시설원예, 축산",(주)씨큐리티에비던스,김홍태,20050309,"보안기기, 무역","제조, 도매업",O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,14557,경기도 부천시 부천로198번길 36,경기도 부천시 춘의동 200-1 춘의테크노파크,101동 1306호,0326716411,0326716414,ihkang@securityevidence.com,www.secctv.kr,"CCTV CAMERA, DVR, NVR",,14,6,3,5,2
3,"시설원예, 축산",주식회사 더케이피지,구정미,20220318,"CCTV, 출입통제시스템류","도매 및 소매업, 정보통신업",O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,12106,경기도 남양주시 순화궁로 249,경기도 남양주시 별내동 975-1 별내역 파라곤스퀘어,"N동 801호(별내동, 별내역 파라곤스퀘어)",15336011,0264889904,jmgu@thekpg.kr,,정보통신공사 전문,,7,2,2,3,2
4,시설원예,주식회사 하이롬,변옥주,20170915,농업용기계,제조업,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,61200,광주광역시 북구 동문대로 50,"광주광역시 북구 두암동 887-2 동강대학,동신중.고,동신여중.고등학교",동강대학교 산학협력관 106호,0622339962,0629531566,yongsotum@hanmail.net,hirom.co.kr,"전기온풍기,무인방제기, 방상팬, 유동팬","무인방제기, 방상팬, 유동팬",12,4,4,4,3
5,"시설원예, 축산",(주)에스이디,오준,20130912,"전자부품, 소프트웨어개발","제조업, 서비스",O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,X,61761,광주광역시 남구 에너지밸리산업6로 4,광주광역시 남구 대지동 959,,0622263570,0622263560,big3235@naver.com,sedfarm.kr,스마트팜원격제어시스템,,7,1,3,3,3
6,시설원예,주식회사 전일건설,전유정,20230109,"금속구조물 및 창호공사업, 온실시공공사업","건설업, 도매 및 소매업",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,33183,충청남도 부여군 장암면 충절로 1906,충청남도 부여군 장암면 원문리 170-6,(주)전일건설,01030039860,0418358359,hyp0130@daum.net,,"환풍기, 안개분무시스템, 환경제어기, 양액기",,3,1,2,0,2
7,시설원예,한국농부들,류호은,20210625,"농업기자재(스마트팜,관비기)","제조,도.소매",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,28170,충청북도 청주시 흥덕구 옥산면 덕촌미평길 6-11,충청북도 청주시 흥덕구 옥산면 오산리 673-11,2층,0432721217,0432721217,yhe3003@gmail.com,,"스마트팜, 스마트 양액기, 관비기",,1,1,0,0,1
8,"시설원예, 축산",클라이밋 컨트롤 시스템(C.C.S),이주행,20220210,"축산기자재, 축사환기시설 설계, 컨설팅","도소매업,서비스업",O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,14051,경기도 안양시 동안구 부림로 171,경기도 안양시 동안구 관양동 1588-6 평촌라츠오피스텔,510호,07040351234,07040351234,competentpjc@naver.com,,축산 환기 시스템,,4,1,1,2,3
9,시설원예,한울에스씨,김인수,20230609,스마트팜온실시공 난방설비제작시공 양액설비무인방제시스템제작시공 금속창호유리인테리어제작시공 스마트팜기기 농업용정수기 농기구농자재 스마트팜온실컨설팅,건설업 도매및소매업 서비스업,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,36619,경상북도 안동시 풍산읍 신양로 421,경상북도 안동시 풍산읍 신양리 454-1,한울에스씨,0548422023,0547622018,husc2023@naver.com,,"스마트팜온실시공 난방설비제작시공 양액설비,무인방제시스템제작시공 농기구농자재 스마트팜기기 농업용정수기  금속창호유리인테리어제작시공 스마트팜온실컨설팅",,1,1,0,0,1
