,기업명,활용 분야,표준 장치명,제조사,모델명(제조/유통),KC인증
0,(주)에스이디,시설원예,환경제어기,(주)에스이디,SED-SF-A1000,인증
1,(주)에스이디,시설원예,환경제어기,(주)에스이디,SED스마트팜,미인증
2,미래씨엔씨,축산,환경제어기,미래씨엔씨,MC-105K,인증
3,주식회사 탄탄코어,축산,축산방역기,주식회사 탄탄코어,F1,인증
4,주식회사 탄탄코어,축산,축산방역기,주식회사 탄탄코어,F1,인증
5,주식회사 비바엔에스,시설원예,환경제어기,주식회사 비바엔에스,잇츠스마트팜,인증
6,주식회사 소하테크,"시설원예, 축산",환경제어기,주식회사 소하테크,SH-MVP510,인증
7,(주)귿큰,"시설원예, 축산",환경제어기,(주)귿큰,ICTINTERCOP(V1),미인증
8,(주)디케이에코팜,축산,기타,(주)디케이에코팜,ICT-F-TMR-200,인증제외
9,주식회사 큐빅스,"시설원예, 축산",환경제어기,주식회사 큐빅스,QSM,인증
10,주식회사 이스케이프시스템,시설원예,환경제어기,주식회사 이스케이프시스템,eScapedFarms,미인증
11,농업회사법인 주식회사 그린첨단과학온실,시설원예,환경제어기,농업회사법인 주식회사 그린첨단과학온실,GODS-5000,미인증
12,(주)다온정보기술,시설원예,환경제어기,(주)다온정보기술,DP-VHC100,인증
13,주식회사 대단,"시설원예, 축산",환경제어기,주식회사 대단,TCZ41,미인증
14,농부이야기,"시설원예, 축산",환경제어기,농부이야기,K1-SF,인증
15,농부이야기,"시설원예, 축산",환경제어기,농부이야기,K1-SF,인증
16,농부이야기,"시설원예, 축산",환경제어기,농부이야기,K1-SF,인증
17,농부이야기,"시설원예, 축산",환경제어기,농부이야기,K1-SF,인증
18,농부이야기,"시설원예, 축산",환경제어기,농부이야기,K1-SF,인증
19,농부이야기,"시설원예, 축산",환경제어기,농부이야기,K1-SF,인증
20,성진산업(주),축산,냉방기,성진산업(주),SADI-202Y3 / FCDF-020A,미인증
21,성진산업(주),축산,냉방기,성진산업(주),SADI-152Y3 / FCAF-015A,미인증
22,성진산업(주),축산,냉방기,성진산업(주),SADI-102Y3 / FCDF-010A,미인증
23,성진산업(주),축산,냉방기,성진산업(주),SADI-202Y3,미인증
24,성진산업(주),축산,냉방기,성진산업(주),SADI-152Y3,미인증
25,성진산업(주),축산,냉방기,성진산업(주),SADI-102Y3,미인증
26,성진산업(주),축산,냉방기,성진산업(주),SADI-200V3,인증제외
27,성진산업(주),축산,냉방기,성진산업(주),SADI-150V3,인증제외
28,성진산업(주),축산,냉방기,성진산업(주),SADI-201V3,미인증
29,주식회사 수경팜스,시설원예,환경제어기,주식회사 수경팜스,SKDA-2000,미인증
30,주식회사 팀스페이스팜,"시설원예, 축산",환경제어기,주식회사 팀스페이스팜,SS-22-B,미인증
31,주식회사위젠트,축산,악취제거기,주식회사위젠트,WIZ102,미인증
32,(주)대성마리프,축산,냉방기,(주)대성마리프,SRP-M150PB,인증
33,(주)대성마리프,축산,냉방기,(주)대성마리프,SRP-M150PB,인증
34,맘꽃가든,시설원예,환경제어기,맘꽃가든,SLOWER-1,미인증
35,케이디솔루션(주),"시설원예, 축산",환경제어기,케이디솔루션(주),KDS-700YFC,인증
36,케이디솔루션(주),"시설원예, 축산",환경제어기,케이디솔루션(주),KDS-20TFD,인증제외
37,케이디솔루션(주),"시설원예, 축산",환경제어기,케이디솔루션(주),KDS-050SF,인증제외
38,케이디솔루션(주),"시설원예, 축산",환경제어기,케이디솔루션(주),KDS-100YF,인증제외
39,우리팜,시설원예,환경제어기,우리팜,WEFC2022010001,미인증
40,(주)로그인서광,"시설원예, 축산",환경제어기,(주)로그인서광,LSG-CONT3201,인증
41,코리아디지탈(주),"시설원예, 축산",환경제어기,코리아디지탈(주),팜스큐브,인증
42,코리아디지탈(주),"시설원예, 축산",환경제어기,코리아디지탈(주),팜스큐브,인증
43,코리아디지탈(주),"시설원예, 축산",환경제어기,코리아디지탈(주),팜스큐브,인증
44,코리아디지탈(주),"시설원예, 축산",환경제어기,코리아디지탈(주),팜스큐브,인증
45,코리아디지탈(주),"시설원예, 축산",환경제어기,코리아디지탈(주),팜스큐브,인증
46,코리아디지탈(주),"시설원예, 축산",환경제어기,코리아디지탈(주),팜스큐브,인증
47,코리아디지탈(주),"시설원예, 축산",환경제어기,코리아디지탈(주),팜스큐브,인증
48,코리아디지탈(주),"시설원예, 축산",환경제어기,코리아디지탈(주),팜스큐브,인증
49,(유)금화이엔에스,시설원예,환경제어기,(유)금화이엔에스,NEO1000,인증
50,(유)금화이엔에스,시설원예,양액기,(유)금화이엔에스,NEO-H,인증
51,(유)금화이엔에스,시설원예,환경제어기,(유)금화이엔에스,NEO1000,인증
52,휴미템,"시설원예, 축산",환풍기,휴미템,RS-No1,인증
53,휴미템,"시설원예, 축산",환경제어기,휴미템,RichA1,인증
54,휴미템,축산,환풍기,휴미템,HMT-A400,인증
55,휴미템,축산,환풍기,휴미템,HMT-A500,인증
56,휴미템,축산,환경제어기,휴미템,RichH2,미인증
57,휴미템,축산,환경제어기,휴미템,RICHS3,미인증
58,그린씨에스(주),시설원예,양액기,그린씨에스(주),MAGMA1000V20,인증
59,그린씨에스(주),시설원예,환경제어기,그린씨에스(주),MAGMAPLUS-1000,인증
60,그린씨에스(주),시설원예,환경제어기,그린씨에스(주),MAGMAPLUS-1000,인증
61,그린씨에스(주),시설원예,환경제어기,그린씨에스(주),MAGMA-1000,인증
62,그린씨에스(주),시설원예,환경제어기,그린씨에스(주),MAGMA-1000,인증
63,그린씨에스(주),시설원예,양액기,그린씨에스(주),MAGMA1000V20,인증
64,그린씨에스(주),시설원예,환경제어기,그린씨에스(주),MAGMA-1000,인증
65,(주)한국더원,시설원예,환경제어기,(주)한국더원,HD22,미인증
66,(주)한국더원,시설원예,환경제어기,(주)한국더원,HD22,미인증
67,(주)보람,축산,환경제어기,(주)보람,IOT-1004,인증
68,(주)보람,축산,환경제어기,(주)보람,IOT-1004,인증
69,코리아데이타코퍼레이션(주),"시설원예, 축산",냉방기,코리아데이타코퍼레이션(주),ASCU-150,인증제외
70,코리아데이타코퍼레이션(주),"시설원예, 축산",환경제어기,코리아데이타코퍼레이션(주),KDC-100YF,인증제외
71,코리아데이타코퍼레이션(주),"시설원예, 축산",환경제어기,코리아데이타코퍼레이션(주),KDC-20TFD,인증제외
72,우림전기,시설원예,환경제어기,우림전기,URSF-01,인증
73,농업회사법인(주)힐링시스템,축산,축산급이기,농업회사법인(주)힐링시스템,HL70,인증
74,농업회사법인(주)힐링시스템,축산,축산급이기,농업회사법인(주)힐링시스템,HL70,인증
75,농업회사법인(주)힐링시스템,축산,사료빈관리기,농업회사법인(주)힐링시스템,HL65,인증
76,농업회사법인(주)힐링시스템,축산,사료빈관리기,농업회사법인(주)힐링시스템,HL65,인증
77,주식회사아이온텍,축산,사료빈관리기,주식회사아이온텍,ION-L190,인증
78,주식회사아이온텍,축산,환경제어기,주식회사아이온텍,EMD-1000 / ROOFONOFF-EMD-1000,인증
79,주식회사아이온텍,축산,축산급이기,주식회사아이온텍,LFS-120,인증
80,주식회사아이온텍,축산,축산급이기,주식회사아이온텍,LFS-120,인증
81,주식회사아이온텍,축산,축산용체중기,주식회사아이온텍,SC-500,인증
82,주식회사아이온텍,축산,출하돈선별기,주식회사아이온텍,SC-300,인증
83,주식회사아이온텍,축산,축산급이기,주식회사아이온텍,LFS-100,인증
84,주식회사아이온텍,축산,사료빈관리기,주식회사아이온텍,ION-L190,인증
85,주식회사아이온텍,축산,환경제어기,주식회사아이온텍,EMD-1000,인증
86,주식회사아이온텍,축산,축산급이기,주식회사아이온텍,BFC-700,인증
87,(주)성진시스템,축산,환경제어기,(주)성진시스템,SJ-SMFAR-08(양계),인증
88,(주)성진시스템,축산,환경제어기,(주)성진시스템,SJ-SMFAR-08(양돈),인증
89,(주)성진시스템,축산,환경제어기,(주)성진시스템,SJ-SMFAR-08(대동물),인증
90,(주)성진시스템,시설원예,환경제어기,(주)성진시스템,SJ-SMFAR-08(원예),인증
91,케이에이치에스주식회사,축산,악취제거기,케이에이치에스주식회사,KHS-20HP,인증제외
92,케이에이치에스주식회사,축산,악취제거기,케이에이치에스주식회사,KHS-30HP,인증제외
93,글로벌스마트솔루션 주식회사,시설원예,환경제어기,글로벌스마트솔루션 주식회사,GSS-EGF201,인증
94,(주)온더버스,시설원예,환경제어기,(주)온더버스,ON-1000,인증
95,주식회사 디오비에스,"시설원예, 축산",환경제어기,주식회사 디오비에스,RF-4528PL,인증
96,신영자동화,축산,환경제어기,신영자동화,SY3A00,인증
97,신영자동화,축산,환경제어기,신영자동화,SY3A00,인증
98,신영자동화,축산,환경제어기,신영자동화,SY3A00,인증
99,신영자동화,축산,환경제어기,신영자동화,SY3A00,인증
100,노아랩,시설원예,환경제어기,노아랩,NDI4O4M,미인증
101,주식회사 우주,시설원예,환경제어기,주식회사 우주,SUN-V02,인증
102,주식회사 우주,시설원예,환경제어기,주식회사 우주,SUN-V02,인증
103,주식회사 우주,시설원예,환경제어기,주식회사 우주,SUN-V02,인증
104,주식회사 엔스텝,시설원예,환경제어기,주식회사 엔스텝,NSFM-0832,인증
105,주식회사 이원온실산업,시설원예,환경제어기,주식회사 이원온실산업,ewonia3000,인증
106,(주)텔라움,축산,환경제어기,(주)텔라움,전원관리시스템,인증
107,메를로랩,"시설원예, 축산",기타,메를로랩,스마트RGB전구,인증
108,메를로랩,"시설원예, 축산",기타,메를로랩,스마트2Color전구,인증
109,메를로랩,"시설원예, 축산",기타,메를로랩,스마트RGB투광등,인증
110,메를로랩,"시설원예, 축산",기타,메를로랩,IotDC공장등,인증제외
111,주식회사 와치캠,"시설원예, 축산",기타,주식회사 와치캠,WAP-100-V2,인증
112,주식회사 와치캠,"시설원예, 축산",기타,주식회사 와치캠,WPH-600P,인증
113,예손건드릴,축산,안개분무시스템,예손건드릴,YESON-V200,인증
114,예손건드릴,축산,안개분무시스템,예손건드릴,YESON-V200,인증
