,번호,군별,상호,소재지,연락처
,1,,(주)그린플러스,충청남도 예산군 응봉면 응봉로 50-42,041-332-6421
,2,,대영지에스(주),대구광역시 수성구 지범로 78(지산동),1588-5362
,3,,(주)티에스팜,전라북도 김제시 백구면 영상3길 121,063-543-5704
,4,,팜스코건설(주),충남 아산시 배방읍 고불로 574-2,044-863-5701
,5,,(주)선진이앤씨,강원도 춘천시 신북읍 신샘밭로 356,033-243-4722
,6,,(주)한가람포닉스,경북 상주시 아리랑로 10-6 (복룡동),043-531-0433
,7,,(주)에코앤하우징,충남 논산시 성동면 금백로 253-24,042-632-8250
,8,,(주)동양기업,전남 나주시 산포면 구등길 34-36,061-337-3376
,9,,한동산업개발(주),경상북도 포항시 북구 흥해읍 동해대로 1884,054-261-4066
,10,,(주)케이엔지플러스,"경기도 용인시 처인구 원삼면 보개원삼로 1492, 1층",031-677-5704
,11,,(주)우람,전남 나주시 남평읍 남평1로 50,061-331-1217
,12,,(주)신용,경기도 파주읍 조리읍 명봉산로 48번길 36,031-963-8141
,13,,(주)보광건설,전라남도 나주시 산포면 산포로 468-10,061-333-5845
,14,,(주)이루,충청북도 청주시 청원구 덕벌로 23번길 9. 2층,043-215-7753
,15,1군,(주)국제그린빌드,충남 홍성군 홍성읍 충절로 773,041-631-6241
,16,,대광스틸(주),경북 경주시 안강읍 안현로 862-13,054-745-8850
,17,,(주)그린포닉스,"전북 전주시 덕진구 온고을로 619, 1동 101호",063-291-5634
,18,,(주)보인글로벌,강원도 춘천시 퇴계공단1길 56-16 (퇴계동),033-261-5704
,19,,(주)두리엔지니어링,경기도 김포시 금포로 1565 (운양동),032-524-6007
,20,,(주)가람온실,경남 진주시 월아산로 2075 (초전동),055-923-1001
,21,,(주)서진비에스,전북 전주시 덕진구 동부대로 1042 (송천동2가),063-714-3600
,22,,(주)희망건설,강원도 철원군 동송읍 북원로 1307,033-455-1711
,23,,(주)아리건설,전북 익산시 평동로 501. 1층,063-851-0610
,24,,(주)현대금속농공,충남 천안시 서북구 입장면 연곡길 145,041-587-5640
,25,,피앤티코리아(주),"경기도 용인시 기흥구 강남로 6. 704호 (구갈동, 삼성타운)",031-284-0717
,26,,(주)에스엠팜건설,"경기도 남양주시 교육길 13, D동3-304호 (스마트파크)",061-333-7407
,27,,(주)홍농원예자재(흥농팜온실),경기도 평택시 평남로 246(통북동),031-654-4453
,28,,(주)한일,경남 진주시 집현면 냉장길 89,055-757-0408
,29,,에스지티건설(주),전남 순천시 해룡면 춘순신단길로 80-38,061-724-8989
,30,,㈜경농,서울특별시 서초구 효령로77길 28 (서초동),02-3488-5866
,31,,㈜강림,경상남도 진주시 집현면 진산로 520,055-755-0159
,32,,㈜탑건설,경북 고령군 대가야읍 큰골1길 51,053-853-3758
,33,,(주)새그린,전북 전주시 덕진구 상매로 116(고랑동),063-212-0977
,34,,늘푸른건설(주),"경상남도 진주시 대신로 420, 1층 (초전동)",055-755-1144
,35,,(주)씨앤에스,전북 김제시 백구면 학동로 70,063-543-7843
,36,,㈜선양,전북 남원시 옥고개로 85(노암동),063-626-7562
,37,,(주)태경산업,경상북도 칠곡군 가산면 호국로 1278-14,054-972-5490
,38,,㈜원자동화,경기도 이주시 장이로 1707 (정봉동),031-881-5055
,39,,㈜여명,전북 익산시 망성면 부대미길 83,010-2493-5519
,40,,(주)농자재플러스,"전북 익산시 번석길 321, (팔봉동)",063-858-9914
,41,,(주)하늘시스템,경기도 파주시 월롱면 누현1길 50-26,031-949-4258
,42,,(주)기반테크,경기도 안성시 삼죽면 방고개길 10,031-785-9093
,43,,㈜엠에스,경기도 포천시 군내면 충의로제2길 94-74,031-533-7759
,44,,(주)에이치씨건설,"광주광역시 북구 첨단과기로208번길 43-10, 906호 (오룡동)",062-973-9935
,45,,㈜퍼밋,"서울특별시 송파구 정의로7길 13, 218호",02-6959-7650
