,지역,상호,소재지,연락처
,서울,㈜경농,서초구 효령로77길 28 (서초동),02-3488-5866
,,㈜퍼밋,"송파구 정의로7길 13, 218호",02-6959-7650
,경기도,(주)케이엔지플러스,"용인시 처인구 원삼면 보개원삼로 1492, 1층",031-677-5704
,,(주)신용,파주읍 조리읍 명봉산로 48번길 36,031-963-8141
,,(주)두리엔지니어링,김포시 금포로 1565 (운양동),032-524-6007
,,피앤티코리아(주),"용인시 기흥구 강남로 6. 704호 (구갈동, 삼성타운)",031-284-0717
,,(주)에스엠팜건설,"남양주시 교육길 13, D동3-304호 (스마트파크)",061-333-7407
,,(주)홍농원예자재,평택시 평남로 246(통북동),031-654-4453
,,(주)하늘시스템,파주시 월롱면 누현1길 50-26,031-949-4258
,,(주)기반테크,안성시 삼죽면 방고개길 10,031-785-9093
,,㈜엠에스,포천시 군내면 충의로제2길 94-74,031-533-7759
,,청보산업,안성시 양성면 명당길 22,070-4025-5293
,,유환스틸(주),포천시 해룡로 83-57,031-544-5431
,,㈜유성디자인,"안양시 동안구 엘에스로 142, 913호",031-423-0456
,,㈜더원산업개발,의왕시 성고개로 53. 7층 A709호,031-5177-7040
,,㈜푸르지오산업,"화성시 팔탄면 서해로 987번길 7, 206호",031-353-9988
,,그린팜스글로벌㈜,포천시 영중면 전영로 1551 가동,031-533-7884
,,㈜지성,여주시 흥천면 흥천로 75,031-884-8223
,,㈜코리아하이팜,광주시 곤지암읍 경충대로498번길 19,031-763-9803
,,㈜리치팜건설,"고양시 일산동구 은행마을로 2, 201호",063-433-9720
,강원도,(주)선진이앤씨,춘천시 신북읍 신샘밭로 356,033-243-4722
,,(주)보인글로벌,춘천시 퇴계공단1길 56-16 (퇴계동),033-261-5704
,,(주)희망건설,철원군 동송읍 북원로 1307,033-455-1711
,,(주)성창건설산업,"춘천시 동면 춘천순환로 498, 2층 205호",032-252-7842
,충북,(주)이루,청주시 청원구 덕벌로 23번길 9. 2층,043-215-7753
,,㈜한국건설산업,"옥천군 옥천읍 마암로 119, 121",043-733-7203
,충남,(주)그린플러스,예산군 응봉면 응봉로 50-42,041-332-6421
,,팜스코건설(주),아산시 배방읍 고불로 574-2,044-863-5701
,,(주)에코앤하우징,논산시 성동면 금백로 253-24,042-632-8250
,,(주)국제그린빌드,홍성군 홍성읍 충절로 773,041-631-6241
,,(주)현대금속농공,천안시 서북구 입장면 연곡길 145,041-587-5640
,,농업회사법인 한일그린텍㈜,홍성군 홍성읍 충절로 885,041-633-4805
,대전,우근건설(주),"대덕구 오정로37번길 29, 1층(오정동)",042-672-2800
,광주,(주)에이치씨건설,"북구 첨단과기로208번길 43-10, 906호 (오룡동)",062-973-9935
,대구,대영지에스(주),수성구 지범로 78(지산동),1588-5362
,울산,㈜영남하우스,울주군 언양읍 고등골길 6,052-254-5527
,,㈜농부하우스,북구 산업로 1462(신천동),052-282-0088
,경북,(주)한가람포닉스,상주시 아리랑로 10-6 (복룡동),043-531-0433
,,한동산업개발(주),포항시 북구 흥해읍 동해대로 1884,054-261-4066
,,대광스틸(주),경주시 안강읍 안현로 862-13,054-745-8850
,,(주)태경산업,칠곡군 가산면 호국로 1278-14,054-972-5490
,,㈜광진,안동시 공단로 16(수상동),054-821-2244
,,㈜보한,안동시 제봉길 47-19 (노하동),054-853-4004
,,㈜린건설,안동시 풍산읍 풍산태사로 1075,054-859-6261
,,삼백온실㈜,상주시 냉림로 62(냉림동),054-532-2959
,경남,(주)한일,진주시 집현면 냉장길 89,055-757-0408
,,㈜강림,진주시 집현면 진산로 520,055-755-0159
,,(주)가람온실,진주시 월아산로 2075 (초전동),055-923-1001
,,늘푸른건설(주),"진주시 대신로 420, 1층 (초전동)",055-755-1144
,,㈜하나산업,김해시 한림면 가산로 52-12,055-343-5800
,,㈜팜코,의령군 유곡면 의합대로 1703-81,055-574-9291
,,㈜도현산업,밀양시 추화산성길 34-5(교동),055-354-4540
,,㈜푸른,하동군 하동읍 경서대로71. 상가101호,055-884-3457
,,㈜신세계건설,밀양시 상남면 조음로 34-6,055-351-2122
,,건영온실㈜,창원시 의창구 진산대로 506번길 67,055-252-8857
