,기업명,장비 모델명,구성품,장치명,모델명,사양,제조사,제조국,표준 가격(원)
0,주식회사 하나로수경,HS-8000,옵 션 1,광센서,Davis UV sensor(#6450),,Davis,미국,"500,000원"
1,주식회사 하나로수경,하나로하이팜,옵 션 1,UPS,,1KW,,대한민국,"500,000원"
2,(유)금화이엔에스,NEO-H,옵 션 1,관비기,NEO-W,액비혼합자동관수,(유)금화이엔에스,대한민국,"3,000,000원"
3,(주)로그인서광,LSG-CONT3201,옵 션 1,온습도CO2센서노드,LSG-CTSN001,"온도,습도,이산화탄소 센서일체형 센서노드",로그인서광,한국,"1,100,000원"
4,(주)로그인서광,LSG-CONT3201,옵 션 2,온습도일사센서노드,LSG-PTSN001,"온도,습도,일사 센서일체형 센서노드",로그인서광,한국,"1,000,000원"
5,(주)로그인서광,LSG-CONT3201,옵 션 3,멀티센서노드,LSG-MTSN001,"온도,습도,일사,CO2 센서일체형 센서노드",로그인서광,한국,"1,600,000원"
6,(주)로그인서광,LSG-CONT3201,옵 션 4,외기센서노드,LSG-W&R001,"풍향,풍속,감우 센서일체형 센서노드",로그인서광,한국,"1,500,000원"
7,(주)로그인서광,LSG-CONT3201,옵 션 5,EC&PH센서노드,LSG-EC&PH001,양액 EC 및 PH 센서일체형 센서노드,로그인서광,한국,"800,000원"
8,(주)로그인서광,LSG-CONT3201,옵 션 6,SW,팜사랑통합플랫폼,웹 및 APP제어 통합플랫폼+기본센서노드+제어기+키오스크,로그인서광,한국,"16,000,000원"
9,(주)로그인서광,LSG-CONT3201,옵 션 7,지온센서노드,LSG-EART001,지온센서 및 센서노드,로그인서광,한국,"300,000원"
10,(주)로그인서광,LSG-CONT3201,옵 션 8,행잉배드콘트롤러,LSG-행잉배드CONT,행잉배드 수동 및 자동 높이조절 제어기,로그인서광,한국,"6,500,000원"
11,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 1,풍향 풍속 센서,DAVIS 7911,"풍향(0~360도), 0~50m/s, RS485",DAVIS,외국,"450,000원"
12,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 2,감우센서,DRC3000,"DC AC 12V~24V, 새똥방지, 발열온도설정, 타임조정, 빗물감지후 지연동작 설정",우성테크,대한민국,"150,000원"
13,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 3,일사센서,WSSL-50,"0~2,000W/m2 , 정밀도 ±5%, 일사보드",우성하이텍,대한민국,"300,000원"
14,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 4,이산화탄소센서,M-530,"전압, 5,000ppm",이엘티센서,대한민국,"250,000원"
15,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 5,광량 센서,SQ-214,"공급전압: 5~24VDC, spectral range: 410~655nm, 민감도 0.064mA per μmol",APOGEE,외국,"780,000원"
16,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 6,배액 EC/PH 센서,PH EC ONEBOARD,"EC,PH센서+컨버터",늘푸른,대한민국,"750,000원"
17,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 7,토양 센서,Hydra Probe 2,"지온,지습,EC센서, 0.01~1.5S/m, -10~55℃, 485방식",Stevens,외국,"850,000원"
18,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 8,제어노드,RX32M,32 Digital Output Port 1 RS-485 Port DC12V / 0.5A Input,나래트랜드,대한민국,"500,000원"
19,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 9,UPS,BE400KR,"AC220V, 240Watt, 400VA",APC,대한민국,"180,000원"
20,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 10,아날로그 카메라,DS-2CE16H0T-ITPF,"고정형, 실내외형, 5.0메가픽셀, IR20M",hikvision,외국,"130,000원"
21,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 11,IP 카메라,DS-2CD1021-I,"고정형, 실내외형, 2.0메가픽셀, IR30M",hikvision,외국,"180,000원"
22,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 12,DVR녹화장비,DS-7108HQHI-F1/N,8CH DVR,hikvision,외국,"250,000원"
23,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 13,NVR녹화장비,DS-7108NI-Q1,8CH NVR,hikvision,외국,"300,000원"
24,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 14,PC,JECS-NU591B,"인텔 쿼드코어, 8GB, SSD 256GB",젝스컴퍼니,대한민국,"1,800,000원"
25,(주)나래트랜드,반딧불이-스마트팜원격제어시스템,옵 션 15,터치 모니터,,17”,코리아정보통신,대한민국,"250,000원"
26,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 1,풍향 풍속 센서,DAVIS 7911,"풍향(0~360도), 0~50m/s, RS485",DAVIS,외국,"450,000원"
27,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 2,감우센서,DRC3000,"DC AC 12V~24V, 새똥방지, 발열온도설정, 타임조정, 빗물감지후 지연동작 설정",우성테크,대한민국,"150,000원"
28,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 3,일사센서,WSSL-50,"0~2,000W/m2 , 정밀도 ±5%, 일사보드",우성하이텍,대한민국,"300,000원"
29,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 4,이산화탄소센서,M-530,"전압, 5,000ppm",이엘티센서,대한민국,"250,000원"
30,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 5,광량센서,SQ-214,"공급전압: 5~24VDC, spectral range: 410~655nm, 민감도 0.064mA per μmol",APOGEE,외국,"780,000원"
31,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 6,배액 EC/PH 센서,PHEC ONE  BOARD,"EC,PH센서+컨버터",늘푸른,대한민국,"750,000원"
32,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 7,토양센서,Hydra Probe 2,"지온,지습,EC센서, 0.01~1.5S/m, -10~55℃, 485방식",Stevens,외국,"850,000원"
33,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 8,제어노드,RX32M,32 Digital Output Port 1 RS-485 Port DC12V / 0.5A Input,나래트랜드,대한민국,"500,000원"
34,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 9,UPS,BE400KR,"AC220V, 240Watt, 400VA",APC,대한민국,"180,000원"
35,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 10,아날로그 카메라,DS-2CE16H0T-ITPF,"고정형, 실내외형, 5.0메가픽셀, IR20M",hikvision,외국,"130,000원"
36,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 11,IP 카메라,DS-2CD1021-I,"고정형, 실내외형, 2.0메가픽셀, IR30M",hikvision,외국,"180,000원"
37,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 12,DVR녹화장비,DS-7108HQHI-F1/N,8CH DVR,hikvision,외국,"250,000원"
38,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 13,NVR녹화장비,DS-7108NI-Q1,8CH DVR,hikvision,외국,"300,000원"
39,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 14,PC,JECS-NU591B,"인텔 쿼드코어, 8GB, SSD 256GB",젝스컴퍼니,대한민국,"1,800,000원"
40,(주)나래트랜드,반딧불이-복합환경제어시스템,옵 션 15,터치 모니터,,17”,코리아정보통신,대한민국,"250,000원"
41,농업회사법인 주식회사 그린첨단과학온실,GODS-5000,옵 션 1,CCTV,DH-SF145,"400만화소, 녹화(옵션)",다후아,중국,"60,000원"
