,기업명,장치명,장비 모델명,기능
0,주식회사 하나로수경,양액제어함,HS-8000,양액공급기의 프로그램 작동을 위한 제어함
1,주식회사 하나로수경,양액공급기 관수펌프,HS-8000,양액공급기의 혼합탱크의 양액을 구역별로 관수시켜줌
2,주식회사 하나로수경,액비라인,HS-8000,"각 양액, 산탱크의 액비를 혼합탱크로 보냄"
3,주식회사 하나로수경,양액공급기 전체모습,HS-8000,양액제어함(프로그램가동)+공급장치로 크게 나뉨
4,주식회사 하나로수경,양액제어함 프로그램 메인화면,HS-8000,환경제어용 양액공급기 프로그램 HS-8000PiN
5,주식회사 하나로수경,통합제어기,하나로하이팜,"온실 외부, 내부 환경 데이터 수집 후 통합 디지털화 시켜 pc로 전송함."
6,주식회사 하나로수경,통합환경제어 프로그램,하나로하이팜,설정된 온실운용 프로그램에 따라 하우스에 설치되어 있는 각종 구동제어기들을 제어하여 작물의 최적생육 환경을 조성하고 데이터를 저장하여 재배자가 원하는 온실 환경을 제공하는 시스템
7,주식회사 하나로수경,PC / 모니터,하나로하이팜,통합환경제어 프로그램 구현 및 모니터링
8,휴미템,온습도 센서,RichA1,돈사 내부 온도와 습도를 측정
9,휴미템,RICH A1,RichA1,돈사 내부 구동기 정밀 제어
10,휴미템,300파이 모터,RS-No1,"외부 공기 유입, 내부 공기 순환"
11,휴미템,필터망,RS-No1,"분진, 분뇨 필터"
12,휴미템,온습도 센서,RS-No1,돈사 내부 온도와 습도를 측정
13,휴미템,RICH A1,RS-No1,돈사 내부 구동기 정밀 제어
14,휴미템,RS-No1,RS-No1,돈사 내외부 공기를 섞어줌
15,(유)금화이엔에스,내부 PCB,NEO-H,데이터 수집 및 분석
16,(유)금화이엔에스,터치패널,NEO-H,프로그램 표시
17,(유)금화이엔에스,물탱크,NEO-H,양액 및 물 보관
18,(유)금화이엔에스,펌프,NEO-H,양액 및 물 공급
19,(유)금화이엔에스,PH 센서,NEO-H,양액 PH 측정
20,(유)금화이엔에스,EC 센서,NEO-H,양액 EC 측정
21,(유)금화이엔에스,양액기 본체,NEO-H,
22,(주)로그인서광,통합관리 플랫폼(SW),LSG-CONT3201,"센서 모니터링 및 시설 원격제어 통합플랫폼, WB/APP 서비스"
23,(주)로그인서광,환경제어기(LSG-CONT3201),LSG-CONT3201,온실내 각종 시설제어기(수동 및 원격 제어 인터페이스 기능)
24,(주)로그인서광,풍향풍속감우센서노드(LSG-W&R001),LSG-CONT3201,센서일체형 풍향풍속감우센서노드(KSX3267 표준검정필)
25,(주)로그인서광,스마트팜통합제어기(키오스크)_,LSG-CONT3201,다수의 온실 제어기를 통함하여 센서모니터 및 터치방식 원격제어
26,(주)로그인서광,ECPH센서노드(LSG-EC&PH001),LSG-CONT3201,"센서일체형 양액 EC, PH 센서노드(KSX3267 표준검정필)"
27,(주)로그인서광,지온센서노드(LSG-EART001),LSG-CONT3201,센서일체형 지온센서노드(KSX3267 표준검정필)
28,(주)로그인서광,온습도센서노드(LSG-THSN001),LSG-CONT3201,센서일체형 온습도센서노드(KSX3267 표준검정필)
29,(주)로그인서광,이산화탄소온습도 센서노드(LSG-CTSN001),LSG-CONT3201,"센서일체형 CO2,온습도센서노드(KSX3267 표준검정필)"
30,(주)로그인서광,일사온습도센서노드(LSG-PTSN001),LSG-CONT3201,"센서일체형 일사량,온습도 센서노드(KSX3267 표준검정필)"
31,(주)로그인서광,멀티센서노드(LSG-MTSN001),LSG-CONT3201,센서일체형 일사량CO2온습도 센서노드(KSX3267 표준검정필)
32,(주)로그인서광,행잉배드콘트롤러,LSG-CONT3201,행잉배드 업다운 자동 및 수동 조절 콘트롤러
33,(유)금화이엔에스,내부 PCB,NEO1000,데이터 수집
34,(유)금화이엔에스,터치패널,NEO1000,제어 화면 표출
35,(주)귿큰,ICTINTERCOP(V1),ICTINTERCOP(V1),다양한 환경제어장치들의 제어기능 통합을 통한 데이터 통합관리
36,(주)귿큰,ICTINTERCOP(V1),ICTINTERCOP(V1),다양한 환경제어장치들의 제어기능 추출을 통한 제어기능 통합관리
37,케이앤디글로벌,복합환경제어시스템 본체,i-1100,각 센서 및 장치들과 연결하여 데이터 수집 및 제어
38,케이앤디글로벌,"온도,습도,암모니아, tVOC센서",i-1100,"농장의 온도,습도,암모니아 등 환경 정보를 측정."
39,(주)나래트랜드,배액 EC/PH 센서-PH EC ONEBOARD,반딧불이-스마트팜원격제어시스템,RS-485 or RS-232를 통한 데이터 통신 가능
40,(주)나래트랜드,토양 센서-Hydra Probe 2,반딧불이-스마트팜원격제어시스템,토양수분/EC/토양온도를 실시간으로 측정
41,(주)나래트랜드,스마트팜원격제어시스템,반딧불이-스마트팜원격제어시스템,"실내외 센서데이터 수집기, 485 통신 적용"
42,(주)나래트랜드,제어노드-RX32M,반딧불이-스마트팜원격제어시스템,확장제어노드
43,(주)나래트랜드,감우센서-DRC3000,반딧불이-스마트팜원격제어시스템,3면 감지로 오작동 방지
44,(주)나래트랜드,일사센서-WSSL-506,반딧불이-스마트팜원격제어시스템,누적 일사량 표기 가능
45,(주)나래트랜드,이산화탄소센서-M-530,반딧불이-스마트팜원격제어시스템,이산화탄소 수준을 측정하는 데 사용되는 NDIR
46,(주)나래트랜드,온도센서-NTC-10K,반딧불이-스마트팜원격제어시스템,저항값 비례 온도 변화
47,(주)나래트랜드,광량 센서-SQ-214,반딧불이-스마트팜원격제어시스템,"데이터가 아날로그, 디지털로 출력되어 어떤 시스템과도 쉽게 연동"
48,(주)나래트랜드,습도센서-NR-AG-S06,반딧불이-스마트팜원격제어시스템,최적의 정전용량 방식 상대습도 센서
49,(주)나래트랜드,풍향 풍속 센서-DAVIS 7911,반딧불이-스마트팜원격제어시스템,"우수한 선형성, 긴 전송거리, 강력한 외부 간섭 저랑 능력"
50,(주)나래트랜드,복합환경제어시스템,반딧불이-복합환경제어시스템,생육환경에 최적화한 지능형 복합제어 알고리즘 적용
51,(주)나래트랜드,제어노드-RX32M,반딧불이-복합환경제어시스템,확장제어노드
52,(주)나래트랜드,온도센서-NTC-10K,반딧불이-복합환경제어시스템,저항값 비례 온도 변화
53,(주)나래트랜드,습도센서-NR-AG-S06,반딧불이-복합환경제어시스템,최적의 정전용량 방식 상대습도 센서
54,(주)나래트랜드,풍향 풍속 센서-DAVIS 7911,반딧불이-복합환경제어시스템,"우수한 선형성, 긴 전송거리, 강력한 외부 간섭 저랑 능력"
55,(주)나래트랜드,감우센서-DRC3000,반딧불이-복합환경제어시스템,3면 감지로 오작동 방지
56,(주)나래트랜드,일사센서-WSSL-506,반딧불이-복합환경제어시스템,누적 일사량 표기 가능
57,(주)나래트랜드,이산화탄소센서-M-530,반딧불이-복합환경제어시스템,이산화탄소 수준을 측정하는 데 사용되는 NDIR
58,(주)나래트랜드,광량 센서-SQ-214,반딧불이-복합환경제어시스템,"데이터가 아날로그, 디지털로 출력되어 어떤 시스템과도  쉽게 연동"
59,(주)나래트랜드,배액 EC/PH 센서-PH EC ONEBOARD,반딧불이-복합환경제어시스템,RS-485 or RS-232를 통한 데이터 통신 가능
60,(주)나래트랜드,토양 센서-Hydra Probe 2,반딧불이-복합환경제어시스템,토양수분/EC/토양온도를 실시간으로 측정
61,(주)나래트랜드,센서노드-ES06,반딧불이-복합환경제어시스템,"실내외 센서데이터 수집기, 485 통신 적용"
