,기업명,구성품,장비 모델명,장치명,모델명,사양,수량,제조사,제조국,표준 가격(원)
0,주식회사 하나로수경,구 동 기 1,HS-8000,양액공급기,HS-8000,"관수펌프2hp, 액비3라인, 8구역",1,하나로수경,대한민국,"9,500,000원"
1,주식회사 하나로수경,S / W 1,HS-8000,양액제어시스템 프로그램,HS-8000PiN,기존 양액기 설치 농가들에게 업그레이드 프로그램,1,하나로수경,대한민국,"1,000,000원"
2,주식회사 하나로수경,통 신 장 치 1,하나로하이팜,통합제어기,하나로 하이팜,통합 환경 제어 솔루션 프로그램,1,하나로수경,대한민국,"1,500,000원"
3,주식회사 하나로수경,통 신 장 치 2,하나로하이팜,PC / 모니터,"AMD Ryzen / 24""","WIN 10 64BIT, CPU 3.2GHz",1,피씨아이,대한민국,"900,000원"
4,주식회사 하나로수경,S / W 1,하나로하이팜,통합환경제어프로그램,하나로 하이팜,자동제어 컨트롤러,1,하나로수경,대한민국,"3,000,000원"
5,휴미템,센 서 류 1,RichA1,온습도센서,온습도센서,온도센서 : -40~125℃ / 정확도 ±0.2℃  습도센서 : 10~90% / 정확도 ±2.0%,1,휴미템,대한민국,"150,000원"
6,휴미템,구 동 기 1,RichA1,복합환경 제어기,Rich A1,-,1,휴미템,대한민국,"800,000원"
7,휴미템,구 동 기 1,RS-No1,모터,HMT-A300,200W,2,휴미템,대한민국,"1,800,000원"
8,휴미템,구 동 기 2,RS-No1,필터망,-,-,1,휴미템,대한민국,"80,000원"
9,휴미템,구 동 기 3,RS-No1,온습도센서,온습도센서,온도센서 : -40~125℃ / 정확도 ±0.2℃  습도센서 : 10~90% / 정확도 ±2.0%,1,휴미템,대한민국,"150,000원"
10,휴미템,구 동 기 4,RS-No1,복합환경 제어기,Rich A1,-,1,휴미템,대한민국,"800,000원"
11,휴미템,구 동 기 5,RS-No1,습도공조 시스템,RS-NO1,-,1,휴미템,대한민국,"1,800,000원"
12,(유)금화이엔에스,센 서 류 1,NEO-H,온도센서,NTC,측정범위 : -20 ~ 80,1,영인전자,대한민국,"300,000원"
13,(유)금화이엔에스,센 서 류 2,NEO-H,습도센서,NTC,0 ~ 100%,1,(유)금화이엔에스,대한민국,"500,000원"
14,(유)금화이엔에스,센 서 류 3,NEO-H,배액EC센서,EC-1000,0~10mS/cm,1,청호엔지니어링,대한민국,"500,000원"
15,(유)금화이엔에스,센 서 류 4,NEO-H,배액pH센서,PH-1000,0~14pH,1,청호엔지니어링,대한민국,"500,000원"
16,(유)금화이엔에스,구 동 기 1,NEO-H,양액자동공급장치,NEO-H,혼합탱크공급방식,1,(유)금화이엔에스,대한민국,"15,000,000원"
17,(유)금화이엔에스,S / W 1,NEO-H,제어솔루션,NEO-SW,PC,1,(유)금화이엔에스,대한민국,"2,000,000원"
18,(주)로그인서광,센 서 류 1,LSG-CONT3201,온습도센서노드,LSG-THSN001,"온도:-20~80, 습도 0~100%",1,로그인서광,한국,"600,000원"
19,(주)로그인서광,구 동 기 1,LSG-CONT3201,스마트제어기,LSG-CONT3201,수동/원격제어구동기,1,로그인서광,한국,"4,000,000원"
20,(주)로그인서광,통 신 장 치 1,LSG-CONT3201,키오스크,LSG-KIOSK,"통합원격제어,모니터링",1,로그인서광,한국,"3,100,000원"
21,(주)로그인서광,S / W 1,LSG-CONT3201,환경제어 SW,팜사랑,통합환경제어 SW 업데이트,1,로그인서광,한국,"300,000원"
22,(유)금화이엔에스,센 서 류 1,NEO1000,건구온도센서,NTC,-20 ~ 80℃,2,영인전자,대한민국,"300,000원"
23,(유)금화이엔에스,센 서 류 2,NEO1000,습구(온도)습도센서,NTC,0 ~ 100%RH,2,(유)금화이엔에스,대한민국,"500,000원"
24,(유)금화이엔에스,센 서 류 3,NEO1000,풍향/풍속센서,Vantage_Pro,"0~359°, 0~50m/s",1,davis,미국,"500,000원"
25,(유)금화이엔에스,센 서 류 4,NEO1000,감우센서,감우1000,측정간격 1.0mm,1,청호엔지니어링,대한민국,"400,000원"
26,(유)금화이엔에스,센 서 류 5,NEO1000,일사센서,Vantage_Pro,"0~1,800/㎡",1,davis,미국,"500,000원"
27,(유)금화이엔에스,센 서 류 6,NEO1000,CO2센서,SH-NDC-003,"0~3,000ppm",1,소하테크,대한민국,"300,000원"
28,(유)금화이엔에스,센 서 류 7,NEO1000,토양센서,WT-1000B,토양EC 0-6.0dS/m 토양온도 0~60℃,1,미래센서,대한민국,"500,000원"
29,(유)금화이엔에스,센 서 류 8,NEO1000,배액EC센서,EC-1000,0.00~10.00mS/cm,1,청호엔지니어링,대한민국,"500,000원"
30,(유)금화이엔에스,센 서 류 9,NEO1000,배액PH센서,PH-1000,0.00~14.00pH,1,청호엔지니어링,대한민국,"500,000원"
31,(유)금화이엔에스,통 신 장 치 1,NEO1000,센서노드,KH-1000,"건구온도,습도,CO2",1,(유)금화이엔에스,대한민국,"3,500,000원"
32,(유)금화이엔에스,통 신 장 치 2,NEO1000,통합제어기,NEO1000,복합환경제어기,1,(유)금화이엔에스,대한민국,"1,300,000원"
33,(유)금화이엔에스,통 신 장 치 3,NEO1000,통합판넬,NEO-MCC,배전반,1,(유)금화이엔에스,대한민국,"5,000,000원"
